Sudoku: 0
Case: 0, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 1, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 2, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 3, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 4, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 5, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 6, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 7, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 8, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 9, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 10, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 11, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 12, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 13, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 14, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 15, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 16, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 17, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 18, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 19, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 20, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 21, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 22, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 23, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 24, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 25, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 26, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 27, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 28, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 29, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
